tweet_id,text,created_at,state,party_mentioned,retweets,likes,text_clean,text_processed,sentiment,sentiment_score,dominant_topic,topic_probability,date
tweet_0,Strong leadership when we need it most. #Independent2024 #Election2024,2025-05-16 17:25:07.668202,Pennsylvania,Independent,20,102,strong leadership when we need it most independent election,strong leadership need independent,positive,0.8038528561592102,4,0.9279941,2025-05-16
tweet_1,Weak debate performance. No real solutions offered. #Independent2024 #Election2024,2025-05-03 17:25:07.668655,Pennsylvania,Independent,99,359,weak debate performance no real solutions offered independent election,weak debate performance real solutions offered independent,negative,0.871368944644928,4,0.9572162,2025-05-03
tweet_2,Election day is approaching quickly. #Democrat2024 #Election2024,2025-05-03 17:25:07.668893,Florida,Democrat,29,293,election day is approaching quickly democrat election,day approaching quickly democrat,neutral,0.6026833057403564,2,0.92728734,2025-05-03
tweet_3,Finally a candidate who listens to working people! #Republican2024 #Election2024,2025-05-26 17:25:07.669075,Florida,Republican,57,21,finally a candidate who listens to working people republican election,finally listens working people republican,positive,0.7594895362854004,4,0.94134814,2025-05-26
tweet_4,Great policy speech today! Really inspiring vision for the future. #Republican2024 #Election2024,2025-04-30 17:25:07.669239,New York,Republican,41,475,great policy speech today really inspiring vision for the future republican election,great policy speech today really inspiring vision future republican,positive,0.9801842570304871,3,0.967819,2025-04-30
tweet_5,Campaign rally scheduled for this weekend. #Independent2024 #Election2024,2025-05-07 17:25:07.669394,California,Independent,2,484,campaign rally scheduled for this weekend independent election,rally scheduled weekend independent,neutral,0.9340530633926392,1,0.93232393,2025-05-07
tweet_6,"Same old politics, nothing will change. #Republican2024 #Election2024",2025-05-20 17:25:07.669552,Texas,Republican,3,88,same old politics nothing will change republican election,old politics nothing change republican,negative,0.7597195506095886,3,0.94394654,2025-05-20
tweet_7,New poll shows tight race in key swing states. #Democrat2024 #Election2024,2025-05-18 17:25:07.669717,Texas,Democrat,52,385,new poll shows tight race in key swing states democrat election,new poll shows tight race key swing states democrat,neutral,0.8322589993476868,0,0.9644567,2025-05-18
tweet_8,This candidate is out of touch with regular people. #Independent2024 #Election2024,2025-05-15 17:25:07.669914,Pennsylvania,Independent,7,430,this candidate is out of touch with regular people independent election,touch regular people independent,negative,0.8877984881401062,2,0.92728734,2025-05-15
tweet_9,Great policy speech today! Really inspiring vision for the future. #Democrat2024 #Election2024,2025-05-19 17:25:07.670078,Florida,Democrat,1,389,great policy speech today really inspiring vision for the future democrat election,great policy speech today really inspiring vision future democrat,positive,0.9806103706359863,3,0.9678189,2025-05-19
tweet_10,Finally a candidate who listens to working people! #Democrat2024 #Election2024,2025-04-28 17:25:07.670236,Texas,Democrat,89,43,finally a candidate who listens to working people democrat election,finally listens working people democrat,positive,0.804597795009613,4,0.94134796,2025-04-28
tweet_11,Voter registration deadline is next month. #Democrat2024 #Election2024,2025-05-11 17:25:07.670387,Florida,Democrat,61,295,voter registration deadline is next month democrat election,voter registration deadline next month democrat,neutral,0.9037363529205322,2,0.950038,2025-05-11
tweet_12,Election day is approaching quickly. #Democrat2024 #Election2024,2025-05-12 17:25:07.670545,Pennsylvania,Democrat,23,409,election day is approaching quickly democrat election,day approaching quickly democrat,neutral,0.6026833057403564,2,0.92728734,2025-05-12
tweet_13,Voter registration deadline is next month. #Republican2024 #Election2024,2025-05-18 17:25:07.670732,Pennsylvania,Republican,14,300,voter registration deadline is next month republican election,voter registration deadline next month republican,neutral,0.9182999730110168,2,0.9500379,2025-05-18
tweet_14,Great policy speech today! Really inspiring vision for the future. #Republican2024 #Election2024,2025-05-15 17:25:07.670907,New York,Republican,80,391,great policy speech today really inspiring vision for the future republican election,great policy speech today really inspiring vision future republican,positive,0.9801842570304871,3,0.967819,2025-05-15
tweet_15,Candidate will speak at town hall meeting tomorrow. #Independent2024 #Election2024,2025-05-22 17:25:07.671064,Texas,Independent,40,27,candidate will speak at town hall meeting tomorrow independent election,speak town hall meeting tomorrow independent,neutral,0.9503028392791748,1,0.95349854,2025-05-22
tweet_16,Voter registration deadline is next month. #Democrat2024 #Election2024,2025-05-26 17:25:07.671215,Pennsylvania,Democrat,98,171,voter registration deadline is next month democrat election,voter registration deadline next month democrat,neutral,0.9037363529205322,2,0.950038,2025-05-26
tweet_17,Weak debate performance. No real solutions offered. #Independent2024 #Election2024,2025-05-26 17:25:07.671371,New York,Independent,46,461,weak debate performance no real solutions offered independent election,weak debate performance real solutions offered independent,negative,0.871368944644928,4,0.95721626,2025-05-26
tweet_18,Election day is approaching quickly. #Democrat2024 #Election2024,2025-05-04 17:25:07.671520,New York,Democrat,8,206,election day is approaching quickly democrat election,day approaching quickly democrat,neutral,0.6026833057403564,2,0.92728734,2025-05-04
tweet_19,Another broken promise from politicians. #Republican2024 #Election2024,2025-05-08 17:25:07.671676,California,Republican,51,95,another broken promise from politicians republican election,another broken promise politicians republican,negative,0.8090128302574158,1,0.9448747,2025-05-08
tweet_20,"Same old politics, nothing will change. #Independent2024 #Election2024",2025-05-20 17:25:07.671861,Pennsylvania,Independent,14,170,same old politics nothing will change independent election,old politics nothing change independent,negative,0.7021893858909607,3,0.9439464,2025-05-20
tweet_21,Strong leadership when we need it most. #Independent2024 #Election2024,2025-04-30 17:25:07.672021,New York,Independent,85,283,strong leadership when we need it most independent election,strong leadership need independent,positive,0.8038528561592102,4,0.9279941,2025-04-30
tweet_22,Election day is approaching quickly. #Democrat2024 #Election2024,2025-05-02 17:25:07.672171,Pennsylvania,Democrat,5,283,election day is approaching quickly democrat election,day approaching quickly democrat,neutral,0.6026833057403564,2,0.92728734,2025-05-02
tweet_23,Voter registration deadline is next month. #Democrat2024 #Election2024,2025-04-27 17:25:07.672319,New York,Democrat,91,472,voter registration deadline is next month democrat election,voter registration deadline next month democrat,neutral,0.9037363529205322,2,0.950038,2025-04-27
tweet_24,Great policy speech today! Really inspiring vision for the future. #Republican2024 #Election2024,2025-05-02 17:25:07.672482,New York,Republican,61,120,great policy speech today really inspiring vision for the future republican election,great policy speech today really inspiring vision future republican,positive,0.9801842570304871,3,0.967819,2025-05-02
tweet_25,Candidate will speak at town hall meeting tomorrow. #Independent2024 #Election2024,2025-05-20 17:25:07.672634,New York,Independent,8,317,candidate will speak at town hall meeting tomorrow independent election,speak town hall meeting tomorrow independent,neutral,0.9503028392791748,1,0.95349854,2025-05-20
tweet_26,"Excellent debate performance. Clear, honest answers. #Democrat2024 #Election2024",2025-05-15 17:25:07.672796,New York,Democrat,31,95,excellent debate performance clear honest answers democrat election,excellent debate performance clear honest answers democrat,positive,0.9539871215820312,3,0.95911205,2025-05-15
tweet_27,This candidate is out of touch with regular people. #Republican2024 #Election2024,2025-04-27 17:25:07.672964,California,Republican,57,51,this candidate is out of touch with regular people republican election,touch regular people republican,negative,0.8659353256225586,2,0.9272871,2025-04-27
tweet_28,Love the new healthcare plan - this will help so many families! #Independent2024 #Election2024,2025-05-10 17:25:07.673125,Pennsylvania,Independent,55,80,love the new healthcare plan this will help so many families independent election,love new healthcare plan help many families independent,positive,0.9835608005523682,1,0.96458066,2025-05-10
tweet_29,Love the new healthcare plan - this will help so many families! #Democrat2024 #Election2024,2025-04-29 17:25:07.673279,Pennsylvania,Democrat,95,224,love the new healthcare plan this will help so many families democrat election,love new healthcare plan help many families democrat,positive,0.9844353795051575,1,0.96458066,2025-04-29
tweet_30,Another broken promise from politicians. #Republican2024 #Election2024,2025-05-15 17:25:07.673432,Texas,Republican,31,197,another broken promise from politicians republican election,another broken promise politicians republican,negative,0.8090128302574158,1,0.94487464,2025-05-15
tweet_31,Finally a candidate who listens to working people! #Independent2024 #Election2024,2025-05-16 17:25:07.673586,New York,Independent,16,254,finally a candidate who listens to working people independent election,finally listens working people independent,positive,0.600748598575592,4,0.94134796,2025-05-16
tweet_32,Election day is approaching quickly. #Democrat2024 #Election2024,2025-05-21 17:25:07.673742,New York,Democrat,15,96,election day is approaching quickly democrat election,day approaching quickly democrat,neutral,0.6026833057403564,2,0.92728734,2025-05-21
tweet_33,"Excellent debate performance. Clear, honest answers. #Democrat2024 #Election2024",2025-05-11 17:25:07.673916,Pennsylvania,Democrat,2,147,excellent debate performance clear honest answers democrat election,excellent debate performance clear honest answers democrat,positive,0.9539871215820312,3,0.959112,2025-05-11
tweet_34,Finally a candidate who listens to working people! #Independent2024 #Election2024,2025-05-01 17:25:07.674080,New York,Independent,18,147,finally a candidate who listens to working people independent election,finally listens working people independent,positive,0.600748598575592,4,0.94134796,2025-05-01
tweet_35,This candidate is out of touch with regular people. #Republican2024 #Election2024,2025-05-26 17:25:07.674236,Texas,Republican,0,266,this candidate is out of touch with regular people republican election,touch regular people republican,negative,0.8659353256225586,2,0.9272871,2025-05-26
tweet_36,Great policy speech today! Really inspiring vision for the future. #Democrat2024 #Election2024,2025-05-04 17:25:07.674390,Texas,Democrat,98,262,great policy speech today really inspiring vision for the future democrat election,great policy speech today really inspiring vision future democrat,positive,0.9806103706359863,3,0.9678189,2025-05-04
